77028	16.220504	1.635632	1
23996	10.553916	0.829414	3
35944	9.194627	0.910457	3
60429	1.509985	1.630332	1
16944	3.514480	1.270697	2
77991	13.638618	0.066671	1
29751	11.818200	0.177668	3
40655	11.318059	0.247080	3
52372	1.450857	1.078036	1
34271	1.324801	1.127681	1
16852	12.755770	0.287758	3
35487	10.466573	0.608273	3
41847	12.052567	0.424803	3
36291	5.287611	0.210414	1
10523	6.708891	0.719100	2
61046	9.642770	1.333755	1
39254	4.674894	0.580351	1
30492	10.576765	1.484778	3
42044	10.269083	1.303779	3
30905	7.075514	0.576770	3
28929	10.431838	1.306448	3
6615	2.547849	0.683893	2
13250	8.644262	1.515134	2
52667	2.333196	0.006638	1
46438	6.649756	0.529018	3
84303	13.819629	0.125764	1
37327	9.033968	0.599477	3
12870	3.114870	0.663432	2
7947	0.000000	0.770108	2
24872	1.041254	1.129274	1
3156	0.733137	1.152838	2
37919	6.034054	1.305429	3
46599	9.744664	0.821643	3
35747	9.575751	1.446419	3
27674	7.704932	1.262670	3
57963	2.474746	0.387667	1
25900	0.814697	0.591792	1
27544	5.681854	1.218941	1
27546	6.966389	0.546673	3
13720	5.595833	0.684009	2
5062	0.000000	1.401555	2
22518	4.046055	0.218270	1
55685	2.848132	0.771923	1
3074	0.308864	0.777951	2
64700	6.410228	1.352387	1
64446	7.752020	1.578569	1
13883	0.000000	1.597834	2
51134	8.208426	1.137754	3
64025	8.109269	1.670164	1
82838	13.652666	1.134811	1
22311	9.872475	0.313531	3
31532	8.918753	0.032511	3
17717	2.876207	0.181920	2
76871	12.253893	1.537804	1
4154	4.882063	0.981414	2
63342	7.233710	0.139782	1
4778	4.915496	1.430747	2
6006	1.813295	1.010519	2
58185	8.161886	1.687883	1
47084	1.662631	0.669938	1
33293	5.320277	0.654000	1
5294	2.319569	1.647713	2
71115	9.497715	1.418725	1
28956	7.348828	0.266421	3
75779	8.954981	1.589501	1
63932	8.569604	0.039420	1
